Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Designator~String~Designator~100|Field=Manufacturer~String~Manufacturer~100|Field=Name~String~Name~100|Field=Package~String~Package~100|Field=Power~String~Power~100|Field=Quantity~Integer~Quantity~100|Field=Temp_Coef~String~Temp_Coef~100|Field=Tolerance~String~Tolerance~100|Field=Value~String~Value~100|Field=Voltage~String~Voltage~100|Field=Description~String~Description~100|Field=DocumentName~String~DocumentName~100|Field=LogicalDesignator~String~LogicalDesignator~100|Field=PhysicalPath~String~PhysicalPath~100|Field=Project~String~Project~100|Field=Title~String~Title~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Project1.PrjPCB|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|ReportField=Title~Bill of Materials For Schematic Document [CodeBlock.SchDoc]|ReportField=ReportTime~11:18:37|ReportField=ReportDate~14.05.2018|ReportField=ReportDateTime~14.05.2018 11:18:37|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~37|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~14.05.2018|ReportField=CurrentTime~11:17:56|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\Project\CodeBlock.SchDoc|ReportField=DocumentName~CodeBlock.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~14.05.2018|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.98:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=1200:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A3:PaperIndex=8|ReportField=ProjectName~PCB_Project1.PrjPCB|ReportField=Revision~|ReportField=Rule~Undefined|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=ЕСКД_Децимальний_номер~ДК51.425332.001|ReportField=ЕСКД_Децимальний_номер_Е3~ДК51.425332.001Е3|ReportField=ЕСКД_Затвердив~Губар В.Г.|ReportField=ЕСКД_Маштаб~1:1|ReportField=ЕСКД_Назва_схеми~Схема електрична принципова|ReportField=ЕСКД_Назва_схеми_1~|ReportField=ЕСКД_Назва_схеми_2~|ReportField=ЕСКД_Норма_контроль~|ReportField=ЕСКД_Організація_1~КПІ ім. Ігоря Сікорського|ReportField=ЕСКД_Організація_2~ФЕЛ, КЕОА|ReportField=ЕСКД_Перевірив~Адаменко І.О.|ReportField=ЕСКД_Розробив~Федоренко С.Д.|ReportField=ЕСКД_Тема~система.|ReportField=ЕСКД_Тема_1~Багатоканальна охоронна|ReportField=ЕСКД_Тема_2~|ReportField=ЕСКД_Тема_повна~Багатоканальна охоронна система|ReportField=DataSourceFileName~CodeBlock.SchDoc|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Project\CodeBlock.SchDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|С-0805 50 В 62 пФ 5% C0G/NP0 Kemet|C1|Kemet||С-0805||1|C0G/NP0|5%|62 пФ|50 В|C-0805|CodeBlock.SchDoc|C1||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
2|С-0805 50 В 22 пФ 5% C0G/NP0 Kemet|C2|Kemet||С-0805||1|C0G/NP0|5%|22 пФ|50 В|C-0805|CodeBlock.SchDoc|C2||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
3|С-0805 50 В 0.1 пФ 5% C0G/NP0 Kemet|C3|Kemet||С-0805||1|C0G/NP0|5%|0.1 пФ|50 В|C-0805|CodeBlock.SchDoc|C3||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
4|С-0805 50 В 3300 пФ 5% C0G/NP0 Kemet|C4|Kemet||С-0805||1|C0G/NP0|5%|3300 пФ|50 В|C-0805|CodeBlock.SchDoc|C4||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
5|С-0805 50 В 100 пФ 5% C0G/NP0 Kemet|C5|Kemet||С-0805||1|C0G/NP0|5%|100 пФ|50 В|C-0805|CodeBlock.SchDoc|C5||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
6|К176ИЕ5 СССР|DD1|СССР|К176ИЕ5|||1|||||CD4033BNSR|CodeBlock.SchDoc|DD1||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
7|SN74F38DR Texas Instruments|DD2|Texas Instruments|SN74F38DR|||1|||||CD4011BM96|CodeBlock.SchDoc|DD2||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
8|SN74F24DR Texas Instruments|DD3|Texas Instruments|SN74F24DR|||1|||||CD4024BM|CodeBlock.SchDoc|DD3||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
9|SN74F24DR Texas Instruments|DD4|Texas Instruments|SN74F24DR|||1|||||CD4024BM|CodeBlock.SchDoc|DD4||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
10|SN74F86DR Texas Instruments|DD5|Texas Instruments|SN74F86DR|||1|||||CD4070BM96|CodeBlock.SchDoc|DD5||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
11|SN74F13DR Texas Instruments|DD6|Texas Instruments|SN74F13DR|||1|||||CD4013BM96|CodeBlock.SchDoc|DD6||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
12|SN74F28DR Texas Instruments|DD7|Texas Instruments|SN74F28DR|||1|||||CD4028BM96|CodeBlock.SchDoc|DD7||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
13|SN74F28DR Texas Instruments|DD8|Texas Instruments|SN74F28DR|||1|||||CD4028BM96|CodeBlock.SchDoc|DD8||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
14|SN74F38DR Texas Instruments|DD9|Texas Instruments|SN74F38DR|||1|||||CD4011BM96|CodeBlock.SchDoc|DD9||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
15|SN74F10DR Texas Instruments|DD10|Texas Instruments|SN74F10DR|||1|||||CD4023BM|CodeBlock.SchDoc|DD10||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
16|SN74F13DR Texas Instruments|DD11|Texas Instruments|SN74F13DR|||1|||||CD4013BM96|CodeBlock.SchDoc|DD11||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
17|R-0805 0,125 Вт 22 МОм 5% Hitano|R1|Hitano||R-0805|0,125 Вт|1||5%|22 МОм||R-0805|CodeBlock.SchDoc|R1||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
18|R-0805 0,125 Вт 560 кОм 5% Hitano|R2|Hitano||R-0805|0,125 Вт|1||5%|560 кОм||R-0805|CodeBlock.SchDoc|R2||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
19|R-0805 0,125 Вт 100 кОм 5% Hitano|R3|Hitano||R-0805|0,125 Вт|1||5%|100 кОм||R-0805|CodeBlock.SchDoc|R3||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
20|R-0805 0,125 Вт 10 кОм 5% Hitano|R4|Hitano||R-0805|0,125 Вт|1||5%|10 кОм||R-0805|CodeBlock.SchDoc|R4||C:\Users\Public\Documents\Altium\Project\PCB_Project1.PrjPCB|
